,Genotype,Incubation.Temp,Incubation.Temp:Genotype,Residuals
novel:CALPDS010000116.1_47237,0,3.85771601068506e-08,0.0330148493923875,0.966985112030452
known:CALPDS010000185.1_47481,0,0,0.338429033041654,0.661570966958346
known:CALPDS010000378.1_48005,0.775012740974308,0.116574130282784,0,0.108413128742908
known:CALPDS010000378.1_48036,0.028587224944752,1.15433989688726e-10,0.819197809182965,0.152214965756849
novel:OW982291.1_4098,0,0,0.409186468179196,0.590813531820805
known:OW982291.1_73,0,0.629049549151268,0.211209838489275,0.159740612359457
known:OW982291.1_77,0.0858427039934436,0.200376773076705,8.40491701256475e-11,0.713780522845802
novel:OW982291.1_87,0,0.756939195041633,0,0.243060804958367
novel:OW982291.1_97,4.42107213246676e-11,0,0.699653991720853,0.300346008234936
novel:OW982291.1_4262,0,0,0.662059491078407,0.337940508921593
known:OW982291.1_494,0.195613972401169,0,0.235822992263633,0.568563035335198
known:OW982291.1_814,1.30687518470967e-10,2.38782993402941e-10,0.365990783303075,0.634009216327454
known:OW982291.1_4863,0,0,0.598587824290891,0.401412175709109
novel:OW982291.1_4949,0.143513724733729,5.3009316912356e-07,0.546873580305031,0.309612164868071
novel:OW982291.1_4950,0.207409108569306,0.146367473127179,0.281545562829044,0.36467785547447
novel:OW982291.1_1361,0,0.336768930002748,0,0.663231069997252
novel:OW982291.1_5254,0,0,0.549271020625128,0.450728979374872
known:OW982291.1_1658,0,0,0,1
novel:OW982291.1_5555,0,0.484931951698163,0.0823115000777049,0.432756548224132
known:OW982291.1_2296,0,0.11239546152812,0,0.88760453847188
known:OW982291.1_2298,0,0.229274573829847,1.10581105752734e-10,0.770725426059572
known:OW982291.1_2300,0.194946230211103,0,0,0.805053769788897
novel:OW982291.1_5831,0.466726993162784,0.140582071898646,0,0.392690934938571
novel:OW982291.1_2437,0,0.408525308124189,0,0.591474691875811
novel:OW982291.1_6047,0,0.839495885078796,0,0.160504114921203
known:OW982291.1_2498,0,3.283512953482e-10,0.0512630178182277,0.948736981853421
known:OW982291.1_2499,0,1.40778905060397e-09,0.187901008724053,0.812098989868158
novel:OW982291.1_6215,0,0,0,1
novel:OW982291.1_6348,0,0.105551261827732,0,0.894448738172268
novel:OW982291.1_6374,0,0.589288088862442,6.49791003680925e-10,0.410711910487767
novel:OW982291.1_3027,0,0,0,1
known:OW982291.1_3058,1.88188860112531e-10,0,0.925123065837796,0.0748769339740155
known:OW982291.1_6720,0.0238495803762782,0,7.34774252540765e-16,0.976150419623721
known:OW982291.1_6721,0.453627267074722,0,0,0.546372732925278
known:OW982291.1_6724,0,0.122176265141306,0.534809518692976,0.343014216165718
known:OW982291.1_6727,0.0350997631922798,3.01257375888789e-10,0,0.964900236506463
novel:OW982291.1_3369,0,0.165162440149756,0.520736816104733,0.314100743745512
novel:OW982291.1_3395,0,0,0.327007081314433,0.672992918685567
novel:OW982291.1_6827,0,3.85878814621915e-09,0.544813096744583,0.455186899396629
novel:OW982291.1_6861,0,0.187506321966596,0,0.812493678033404
known:OW982291.1_6991,0,0.10063440515224,0.315297257932013,0.584068336915747
known:OW982291.1_6993,0,0.514778599968179,0,0.48522140003182
