genes,logFC,logCPM,F,PValue,FDR
known:OW982308.1_38879,3.45954847641996,12.3024372331131,96.5566133839184,7.06267157610663e-05,0.00905821972300813
known:OW982293.1_13826,3.5099742445454,13.9849547756399,90.3514433827715,8.50537063193252e-05,0.00905821972300813
known:OW982315.1_40523,3.93144938843801,8.80020069969737,73.9801647853621,0.000148202057018909,0.0105223460483425
novel:OW982320.1_41385,1.91558192831748,9.61696528098316,49.566524110968,0.000440693217903707,0.0234669138533724
novel:OW982307.1_34694,1.47017106943787,12.2202744841562,38.2692287507989,0.000872959796213809,0.0360665283000551
novel:OW982291.1_6827,5.26222610779564,6.17772587192223,36.0979333334604,0.00101595854366352,0.0360665283000551
known:OW982298.1_24494,-0.964840501657354,10.1084157963074,18.1967192554621,0.00548509838446593,0.162136889972935
known:OW982311.1_36363,-0.818642767145327,11.1730824940006,17.3895898400355,0.00608964844968772,0.162136889972935
novel:OW982291.1_3027,5.69086907045922,4.60775155346855,17.9840712556638,0.0085209749882763,0.201663074722539
known:OW982298.1_23475,1.2512673086204,9.15031011002057,13.5004752798073,0.0107035661537058,0.227985959073933
novel:OW982320.1_41282,5.42430313224264,5.37585163867566,14.047315998208,0.0138035347144059,0.242333477714223
known:OW982292.1_11552,0.768463286476699,15.9383111122769,11.7902059905406,0.0142667527655937,0.242333477714223
novel:OW982291.1_6374,3.45567493832359,5.40899489541848,11.5874021477166,0.0147903061515723,0.242333477714223
novel:OW982291.1_5831,1.28119458432116,8.23509809030635,10.6818410458113,0.0174721056022722,0.249067981237245
novel:OW982293.1_13427,-1.65077950881503,6.39104369161069,10.1170791660038,0.0194843136103882,0.249067981237245
known:OW982293.1_12063,1.63509598258728,6.1225023255424,10.0155641864516,0.0198786651691698,0.249067981237245
known:OW982293.1_12064,1.63509598258728,6.1225023255424,10.0155641864516,0.0198786651691698,0.249067981237245
novel:OW982299.1_26240,1.75066378295695,6.92222558032134,8.86595900376362,0.0252004206186756,0.298204977320994
known:OW982293.1_14549,-0.836364962864498,7.95932444401688,7.43733843485984,0.0348816663936924,0.373180575034856
novel:OW982296.1_17269,1.12459495083519,8.2770348799625,7.41851471787246,0.0350404295807376,0.373180575034856
known:OW982291.1_2499,-0.651807241143908,11.1527296246717,5.97105384139998,0.0508850414761819,0.516119706401274
known:OW982291.1_73,-0.693766218397939,9.46670207447914,5.78394348300573,0.0536042253002044,0.518986363133797
known:OW982308.1_38882,0.977134881082256,6.63222515052037,5.49084919956918,0.0582757242363178,0.524362226188619
known:OW982314.1_40988,-0.464233813863394,11.0585495921078,5.17667648295918,0.0639208968457278,0.524362226188619
known:OW982294.1_44316,0.47013977012578,13.6988122566123,4.89779799260593,0.0695751692127579,0.524362226188619
novel:OW982303.1_32745,-1.30863964909989,5.8470947563813,4.83744350149068,0.0708880846800896,0.524362226188619
novel:CALPDS010000116.1_47237,1.42544934500334,5.54555186899645,4.79201600966614,0.0718987125637646,0.524362226188619
novel:OW982319.1_40366,-3.75060730677728,4.71275248778739,5.17399042009462,0.0730555884266412,0.524362226188619
novel:OW982291.1_7260,2.45381102542632,5.64295121840243,4.65679726940325,0.0750260766908608,0.524362226188619
known:OW982305.1_26995,-0.558840044715741,8.68117157546155,4.50310955167877,0.0788110783813456,0.524362226188619
novel:OW982295.1_15424,1.55637548270433,5.39927576859941,4.40891039745252,0.0812612459439431,0.524362226188619
known:OW982296.1_20355,1.2257561796008,6.47705964371505,4.32457765558658,0.0835442427696749,0.524362226188619
known:OW982306.1_33997,-0.451808246569393,12.2487652160352,4.32050017219179,0.0836568440697749,0.524362226188619
novel:OW982315.1_40718,-1.96468652500373,4.92343370373955,4.20568207165829,0.086915010028678,0.524362226188619
known:OW982301.1_30001,-0.493014116589824,9.66934847203181,4.13306003852157,0.0890663241445805,0.524362226188619
known:OW982292.1_9226,-0.402543854183983,10.46048825916,4.05941514515586,0.0913233987297907,0.524362226188619
novel:OW982293.1_13890,-0.481907300318536,8.76780642923779,4.05242403774873,0.0915417351093522,0.524362226188619
novel:OW982321.1_43195,0.75837944780855,8.47031212759322,3.98923369743769,0.0935481905876409,0.524362226188619
known:OW982311.1_36985,1.3147411517884,5.8869877686689,3.76235176452127,0.101272972541265,0.553106234648449
known:OW982296.1_20356,1.17150519118218,6.10753221280454,3.50686506678157,0.11106662521097,0.562233790933931
known:OW982295.1_15520,1.06229066307588,5.65605630502167,3.47143268928927,0.11252714387193,0.562233790933931
novel:OW982301.1_28870,1.46400809387112,5.48291320672096,3.40307968783054,0.11542078719339,0.562233790933931
known:OW982311.1_36874,0.588900639020031,7.89481028983292,3.39341155247828,0.115838380809432,0.562233790933931
known:OW982312.1_38160,0.526702444501861,16.5214759385758,3.38640805549885,0.116142191554427,0.562233790933931
