genes,logFC,logCPM,F,PValue,FDR
known:OW982292.1_11552,-2.29270515018592,12.2542656547096,63.7273530382926,4.90515060588815e-05,0.0132929581419569
novel:OW982298.1_24345,1.34390390862182,10.3613185388269,44.051184289098,0.000176661643165806,0.0193496468741036
known:OW982302.1_30549,-1.58332446473753,11.8680454995265,41.6099431070319,0.000214202732923656,0.0193496468741036
novel:OW982318.1_43086,2.57431594473797,6.40245215956171,28.7114906624733,0.000720859291752221,0.048838217016213
known:OW982302.1_31021,-1.1618010237078,8.36627706974585,24.364664514734,0.00120230005843313,0.0651646631670754
known:OW982318.1_43175,-1.11430101339083,8.20276212625579,21.7386579996868,0.00169766393979726,0.0742371322376343
known:OW982306.1_33997,0.916095961961633,12.5876749009351,20.8657362629517,0.00191756430134111,0.0742371322376343
known:OW982311.1_36363,0.832734817365862,10.5413286742185,18.0548286754617,0.00291943428474245,0.0988958363956507
novel:OW982295.1_17096,6.21304554635204,4.89531062263133,18.6093799228286,0.00367855902291092,0.110765499467651
novel:OW982296.1_20196,2.69950570271796,5.58346480033302,14.8456874844763,0.00502552778411283,0.117760881431255
known:OW982306.1_34006,-1.67740586055598,6.55169585633177,14.8213194364086,0.00504784168276463,0.117760881431255
known:OW982298.1_23475,-1.29279110980407,7.26763393250391,14.6435023091631,0.00521450397481571,0.117760881431255
novel:OW982294.1_45097,-1.40788504961018,6.87596259081875,13.9692759084359,0.00591301317131695,0.123263582263607
known:OW982294.1_44887,-1.19544948674737,7.55022101240524,13.3186769354913,0.00670247752417945,0.124070151058965
novel:OW982291.1_97,3.33358971260288,5.56963561871054,13.194951861428,0.00686735153462909,0.124070151058965
known:OW982306.1_34000,1.06414006015396,13.7056764467475,12.7036750643933,0.00757472358708562,0.128296880756263
known:OW982294.1_44316,-0.759048604434205,11.6163706694972,12.264111326951,0.00828716825456462,0.132107211587471
novel:OW982291.1_4949,-1.21461665277987,6.71433475983384,11.4496369791652,0.00984589887933861,0.13593162095726
known:OW982300.1_28277,0.773069368889089,8.48332228936643,11.2906630248566,0.0101921660533288,0.13593162095726
known:OW982294.1_45095,-0.830518562953741,17.0335749796956,11.2491298410685,0.0102851525293121,0.13593162095726
known:CALPDS010000378.1_48005,-0.83083996625173,17.033956914231,11.1405100019336,0.0105334466424445,0.13593162095726
novel:OW982322.1_46516,-2.97949928050251,4.53001963526863,9.82118001838052,0.0142518735167783,0.174872122761274
novel:OW982296.1_17909,1.64787847639418,6.21457988364349,9.65211029112105,0.014841545474204,0.174872122761274
novel:OW982293.1_13427,-1.4584907630892,5.92817635714911,9.23334596536696,0.0164406714146536,0.179416786485416
known:OW982294.1_44888,-1.06724482854795,6.98323090557219,9.20627897422501,0.0165513640669202,0.179416786485416
