genes,logFC,logCPM,F,PValue,FDR
novel:OW982291.1_97,-4.75783198314351,5.56963561871054,19.4136571239449,0.00432526512476544,0.275038126168598
novel:OW982293.1_13890,1.62437588688048,7.43611240733418,18.2974081167542,0.00498527723531327,0.275038126168598
novel:OW982295.1_17096,-7.15501713912274,4.89531062263133,20.8248530845755,0.0056908371221537,0.275038126168598
known:OW982291.1_3058,-1.4560233901906,7.02122454628017,14.3814198218156,0.00871423125077145,0.275038126168598
novel:OW982291.1_3369,-2.2592409484248,6.74212551673176,13.6801447958456,0.00974578349961547,0.275038126168598
known:OW982319.1_40269,-2.71154918822967,5.0549954933749,13.2773564402088,0.0104126265661631,0.275038126168598
novel:OW982296.1_20196,-3.78507432343167,5.58346480033302,13.1605339414628,0.0106173535446927,0.275038126168598
novel:OW982294.1_43852,-3.15198201081277,5.41243412918152,12.7380701195277,0.0114040659806675,0.275038126168598
known:OW982315.1_40523,2.44526458189085,6.73488737454212,12.5312873529713,0.0118175452580012,0.275038126168598
novel:OW982296.1_17269,1.25076111141,8.22787542117587,12.4376370452785,0.0120113841629279,0.275038126168598
known:OW982296.1_17568,1.18422794756476,11.7589689159928,11.8440579946717,0.013344085565878,0.275038126168598
novel:OW982318.1_43086,-3.63538367920594,6.40245215956171,11.5354063611226,0.0141155354118436,0.275038126168598
novel:OW982302.1_30555,-5.83031848566304,3.84446612778955,11.3671774488586,0.0191331881625103,0.275038126168598
known:OW982308.1_38897,-1.63639016342334,5.90689461232284,9.41693296747222,0.0214216793721178,0.275038126168598
known:OW982302.1_30791,2.0878925619337,8.09132325688542,9.20404125894689,0.022415056990407,0.275038126168598
known:OW982296.1_17769,0.985840949539499,8.16641257933,8.73942873611852,0.0248070175475434,0.275038126168598
novel:OW982317.1_41751,-3.16490478869315,4.65584333890853,8.67989036989815,0.0251378252051022,0.275038126168598
novel:OW982298.1_24178,1.40475379133821,7.2110865234716,8.59940956817194,0.0255944366589601,0.275038126168598
novel:OW982297.1_22163,-2.37735836071403,5.59404230202124,8.41660112336241,0.0266736194381864,0.275038126168598
known:OW982308.1_38882,-5.30968377277444,4.36449561916569,9.43628441331483,0.0268642898440311,0.275038126168598
novel:OW982294.1_46254,-3.99176277600149,4.20175886882663,8.34729388080895,0.0270986720531964,0.275038126168598
novel:OW982296.1_17909,-2.9189449415142,6.21457988364349,8.26211657025393,0.0276335588992928,0.275038126168598
novel:OW982291.1_5555,-4.01678581514579,4.76242378511234,8.1549770417477,0.0283266154993989,0.275038126168598
novel:OW982300.1_27462,-3.0652406565615,6.33748214750822,8.08388574477797,0.0287993736979419,0.275038126168598
novel:OW982316.1_42312,1.86578255944589,5.81249103579067,8.04224435318741,0.0290812031850138,0.275038126168598
novel:OW982291.1_6374,-2.00126568053102,5.8092705472446,7.83345201097048,0.0305514230933216,0.275038126168598
known:OW982310.1_37733,-0.653329904323606,11.0947758210002,7.78150405930321,0.0309326171575351,0.275038126168598
novel:OW982316.1_42271,-2.0055935529186,4.99268007289178,7.49251278917793,0.0331738830976504,0.275038126168598
novel:OW982302.1_30840,2.50904257832,5.2526271637497,7.46482527271457,0.0333999017996191,0.275038126168598
novel:OW982297.1_22048,-2.34389754138741,4.91671954703547,7.46165278765571,0.0334259310767361,0.275038126168598
novel:OW982307.1_34905,-2.83153926104255,5.04106060399425,7.42060379216551,0.0337651910270634,0.275038126168598
novel:OW982292.1_9415,-3.03192925846821,4.45722877664327,7.37704093755912,0.0341302949340323,0.275038126168598
novel:OW982306.1_33312,-5.1351588189546,4.02226080465502,8.21621797671611,0.0341792160355177,0.275038126168598
known:OW982298.1_24281,2.12833503464775,6.28788160432781,7.23286106715457,0.0353771042685108,0.275038126168598
novel:OW982301.1_28870,1.97750483811066,5.86324628531452,7.21660057784923,0.0355215292099665,0.275038126168598
known:OW982309.1_35790,0.801244776758257,11.1256121059094,7.06847233898294,0.0368743532726612,0.277581937135867
known:OW982306.1_34006,-1.1315435081161,6.55169585633177,6.95982157767326,0.0379109054940616,0.277671767267316
