genes,logFC,logCPM,F,PValue,FDR
known:OW982293.1_13826,2.3865739121405,13.9849547756399,328.779644921465,1.31692552390466e-50,2.80505136591692e-48
known:OW982308.1_38879,1.96069937662709,12.3024372331131,154.472382993538,4.68496416520763e-29,4.98948683594613e-27
known:OW982292.1_11552,1.05130154767642,15.9383111122769,98.157909751656,2.76643400092098e-20,1.96416814065389e-18
novel:OW982320.1_41385,2.18173127883691,9.61696528098316,87.0137495988718,2.11539150160444e-18,1.12644597460436e-16
novel:OW982307.1_34694,1.36844256411209,12.2202744841562,85.7721980918491,3.45652926405736e-18,1.47248146648844e-16
known:OW982315.1_40523,2.42140237812397,8.80020069969737,65.280750018833,1.45960333817003e-14,5.18159185050361e-13
known:OW982294.1_44316,0.773380494506411,13.6988122566123,37.1401117560314,3.2567753126539e-09,9.90990202278974e-08
novel:OW982293.1_13890,-1.46189197169799,8.76780642923779,34.8672876042223,9.26027222605238e-09,2.46554748018645e-07
known:OW982298.1_23475,1.42688062387561,9.15031011002057,33.7248919071143,1.57088119040991e-08,3.71775215063679e-07
known:OW982291.1_6724,-0.953912206202569,10.9739389253428,33.18022211332,2.02260988933883e-08,4.3081590642917e-07
known:CALPDS010000378.1_48005,0.49855756253726,16.8807094821149,25.7501787556339,6.70661391714419e-07,1.29864433122883e-05
novel:OW982296.1_17269,1.51779569603151,8.2770348799625,24.2802548916737,1.35778579126136e-06,2.41006977948891e-05
known:OW982294.1_45095,0.472325449585706,16.8748842212946,23.0872957136082,2.41490855055656e-06,3.95673477898882e-05
known:OW982311.1_36363,-0.741409458886835,11.1730824940006,21.1972189558716,6.05223174202029e-06,9.20803829321658e-05
known:OW982294.1_44435,0.451544556774796,16.6465646606492,20.4660467032836,8.65451978249309e-06,0.000122894180911402
known:OW982309.1_35362,1.2957017157998,7.92298122308302,16.1000946626623,7.53680051152627e-05,0.00100333656809693
known:OW982291.1_6720,-0.552698901696115,11.6229775743151,13.0123869011582,0.000360522349138894,0.00425014727840603
known:OW982296.1_20355,1.91111824621896,6.47705964371505,12.9401804444076,0.000374113633040112,0.00425014727840603
known:OW982302.1_30549,0.527446555392102,12.1302191086262,12.9142461942609,0.000379121118731055,0.00425014727840603
known:OW982296.1_17568,0.52139861177054,12.0612771365944,12.3606035329186,0.000503876794113429,0.00536628785730802
known:OW982293.1_12063,2.12639068097678,6.1225023255424,11.6233923885932,0.000737363389941277,0.00713901827534054
known:OW982293.1_12064,2.12639068097678,6.1225023255424,11.6233923885932,0.000737363389941277,0.00713901827534054
known:OW982296.1_20356,1.98954480671338,6.10753221280454,11.0526471694479,0.000991762479229695,0.00918458295982283
novel:OW982293.1_14451,-0.797127414088834,8.70344017342517,10.223716263817,0.00152951527692006,0.0135744480826655
novel:OW982298.1_24470,1.64360788183885,6.26776650740404,9.93713068622939,0.00177808079675447,0.0151492483883481
novel:OW982316.1_42312,1.99147571723789,6.00668189917019,9.70452910730653,0.00200988013563029,0.0164655564957405
novel:OW982320.1_41483,-0.805186717079185,8.58798425369028,9.33903371886804,0.00243813708808602,0.0192341925837897
known:OW982298.1_24494,-0.567315573375921,10.1084157963074,9.24530130179288,0.00256227077898272,0.0194915598544042
novel:OW982291.1_6374,4.8351436292645,5.40899489541848,9.03700018522024,0.0032552390187352,0.0239091693445034
novel:OW982313.1_39729,-0.738910266504214,8.54742193649586,8.60850476244705,0.00359547644892094,0.0254765850902153
known:OW982298.1_23877,-0.761932373120736,8.35511311630235,8.55088859165369,0.00370785980186232,0.0254765850902153
novel:OW982298.1_24178,1.20538400293323,6.91974465399916,8.21458998196294,0.00443951146204117,0.0295504981692115
novel:OW982299.1_26240,2.89238881136841,6.92222558032134,10.4946173496859,0.00557790683076475,0.0360028531803907
known:OW982305.1_26998,-0.414867333248631,11.6704341039497,7.41189001085646,0.00684588805906714,0.0428874751935676
known:OW982309.1_35790,0.450392597874248,10.997741592438,7.17297050453192,0.0077953060045466,0.0469242011739517
known:OW982291.1_6721,-0.735738608850309,8.186233231996,7.14132307077604,0.00793085090263972,0.0469242011739517
novel:OW982295.1_14863,-3.17928522485088,4.25040738399615,7.04000582839575,0.00838132218002169,0.0482492330903952
known:OW982298.1_24282,1.13593281332645,6.34606973192185,6.84764754567371,0.00931045686530312,0.0521875608502517
known:OW982306.1_34006,1.22639371169517,6.94510970197994,6.54869205194485,0.0109703420432457,0.0599149450054187
novel:OW982308.1_39397,1.38815775477146,6.49660892003506,6.36628283941383,0.0121303820427354,0.0645942843775659
known:OW982300.1_28198,0.355739427545484,12.3509010338921,6.21832690772676,0.0131640412368877,0.0683887995965142
novel:OW982293.1_13427,-1.01131179794974,6.39104369161069,5.91655109816551,0.0155645041340539,0.0789342709655592
known:OW982309.1_35792,-0.357572069051876,11.9892666709741,5.71480562853498,0.0174185540003446,0.0862826046993815
known:OW982311.1_36636,0.542695718848212,9.05065288462802,5.40842143250888,0.0206843033360013,0.10013083205837
known:OW982291.1_73,-0.47206578208061,9.46670207447914,5.21967381540706,0.0230076614540155,0.10890293088234
novel:OW982291.1_3027,4.18196400959497,4.60775155346855,4.98692779847638,0.0262547544795332,0.121570928350882
known:OW982298.1_24281,0.932621869634719,6.41893417030851,4.89932786242483,0.0275944558968724,0.125055725660294
known:OW982294.1_44439,0.23972800746268,15.3454392946816,4.76565795047615,0.0297822225137718,0.132158612404863
known:OW982295.1_15520,1.75581318413118,5.65605630502167,4.67594658064147,0.0313518196114426,0.136284440351781
known:OW982317.1_41877,1.66952433290682,5.12594702716142,4.54148792760843,0.0338687672301437,0.14379655970548
known:OW982301.1_30001,-0.426251759638484,9.66934847203181,4.51292972467781,0.0344301621830022,0.14379655970548
known:OW982294.1_44887,0.755306190446922,7.39603492323716,4.43672616114076,0.0359765679744408,0.147365557279921
novel:OW982296.1_19394,1.97921183649085,4.97034727129775,4.15036469791164,0.0424739735984507,0.166947298934483
known:OW982306.1_34000,-0.262952036907317,13.3801461894956,4.14645135375555,0.0425708989363599,0.166947298934483
known:OW982303.1_32506,0.317864013799061,11.3985506226619,4.11952140954583,0.0432442694015212,0.166947298934483
