miRNA.ID,logCPM,logFC.38vs33,F.38vs33,PValue.38vs33,FDR.38vs33,logFC.43vs38,F.43vs38,PValue.43vs38,FDR.43vs38,logFC.43vs33,F.43vs33,PValue.43vs33,FDR.43vs33
known:CALPDS010000185.1_47481,11.059897441571,0.0220730151525543,0.0050593454158433,0.944191337721179,0.991064288034876,0.576237175783442,3.42236204119352,0.0831916547717144,0.201361618936082,0.598310190935997,3.65989612277018,0.0741144408684049,0.14221960274748
known:CALPDS010000378.1_48005,16.8807127799688,0.274234909399023,2.09587431823067,0.167330544626105,0.548329323159391,-0.245800505292608,1.6880481889777,0.212575997195787,0.359772602076861,0.0284344041064152,0.0226518056210773,0.882278737794175,0.89916445526392
known:CALPDS010000378.1_48036,5.92800406579408,0.182176314734461,0.246313022812233,0.626545259058603,0.920373380548154,-1.1932883393253,10.101994162076,0.00593683567270528,0.0351262777301729,-1.01111202459083,6.68903620906308,0.0200800101868495,0.055669556629288
known:OW982291.1_1658,12.9423374900328,0.0327746386540664,0.009533531120574,0.923451381547258,0.991064288034876,0.598557327290791,3.10408842900948,0.0975108676915001,0.216352237690516,0.631331965944858,3.42200051167026,0.0832064418195346,0.155464667610183
known:OW982291.1_2296,8.78948604177076,-0.0461435699851989,0.0364576441805241,0.851015662045799,0.991064288034876,-0.062067757938271,0.0683104210271963,0.797203411660424,0.878461327985432,-0.10821132792347,0.204539918292251,0.657254304626283,0.732958988928787
known:OW982291.1_2298,9.82639828064469,-0.0926699496235818,0.158000903245954,0.696344604523082,0.937915210504212,0.351258869778557,2.32449177034539,0.147199889182365,0.275031371893366,0.258588920154975,1.25071730967094,0.280201234393985,0.385050728554315
known:OW982291.1_2300,13.9440798903193,-0.100025798886107,0.206346730964813,0.655850061697955,0.929266679171147,-0.229671822782228,1.08750395594802,0.312784842496231,0.475879796083551,-0.329697621668335,2.22581584446112,0.155499628211123,0.25283527335091
known:OW982291.1_2498,7.94256907215375,-0.313625230053897,0.375186990824105,0.548942037780145,0.884351808429266,0.820526187865183,2.63693582715079,0.124267063756091,0.245082264630068,0.506900957811286,1.03861733054416,0.323559702494821,0.43073885394623
known:OW982291.1_2499,11.1527616047265,-0.487038291506334,5.74508529792715,0.0293290206563235,0.189305496963543,-0.0322422842007117,0.0253980085708699,0.875407233266447,0.905154080998802,-0.519280575707046,6.57304539830159,0.0210128616002943,0.0560260257878579
known:OW982291.1_3058,6.37619274478304,-0.268337472225283,0.581955668806597,0.456833209117826,0.85355678545699,0.329266880606329,0.981804447378973,0.336748940152252,0.484004461444686,0.0609294083810456,0.0332191435554735,0.857705444609147,0.886850775251205
known:OW982291.1_4101,5.08479071656835,-0.206838204435533,0.0172133315135316,0.89728044357042,0.991064288034876,4.87605715247359,30.2055183463722,5.1862303642822e-05,0.00531080943410688,4.66921894803806,25.9132332786082,0.000114840615587673,0.00116481195810354
known:OW982291.1_4863,6.96432663600681,-0.300254493510997,0.639311982215684,0.435866301893614,0.828924306279819,0.0947698307624077,0.0680107188083081,0.797638151822763,0.878461327985432,-0.205484662748589,0.31560368193427,0.582177049443478,0.666686621136886
known:OW982291.1_494,13.0287168791148,-0.0239610664224447,0.013944614144206,0.907492945846976,0.991064288034876,0.481458481840931,5.60223831128389,0.0311201843234037,0.103571863451328,0.457497415418487,5.06273952909108,0.0391270444625464,0.0858391715872471
known:OW982291.1_6720,11.6229829356886,-0.318558470132158,2.4414475445482,0.138055231993099,0.53604022653786,0.0706914487429871,0.121390894860267,0.732149229413223,0.829509499282002,-0.247867021389171,1.48899832256512,0.240346971220261,0.35258454985742
known:OW982291.1_6721,8.18643043273637,-0.287289803949677,0.647451770305778,0.433016824457403,0.828924306279819,-0.220754491508485,0.389522254074844,0.541495352752047,0.662865000782678,-0.508044295458163,2.08621305393036,0.168254066816326,0.263515560528511
known:OW982291.1_6724,10.9740659494634,-0.708142788061661,13.0894031573687,0.00236514564597484,0.0359840016137601,0.0383835929315984,0.0389424970336928,0.846089512850939,0.89473371142166,-0.669759195130063,11.8475784526396,0.00341985345219165,0.0154984847939749
