#miRNA	read_count	precursor	total	seq	seq(norm)
gga-miR-184-5p	86.00	gga-mir-184	86.00	86.00	11.24
gga-miR-184b-5p	0.00	gga-mir-184b	0.00	0	0
gga-miR-187-5p	0.00	gga-mir-187	0.00	0	0
gga-miR-18a-5p	99.00	gga-mir-18a	99.00	99.00	12.94
gga-miR-18b-5p	308.00	gga-mir-18b	308.00	308.00	40.27
gga-miR-190a-5p	1312.00	gga-mir-190a	1312.00	1312.00	171.52
gga-miR-190b-5p	162.00	gga-mir-190b	162.00	162.00	21.18
gga-miR-191-5p	42460.00	gga-mir-191	42460.00	42460.00	5550.97
gga-miR-191-3p	1327.00	gga-mir-191	1327.00	1327.00	173.48
gga-miR-193a-5p	7310.00	gga-mir-193a	7310.00	7310.00	955.67
gga-miR-193b-5p	2.00	gga-mir-193b	2.00	2.00	0.26
gga-miR-194	1.00	gga-mir-194	1.00	1.00	0.13
gga-miR-196-5p	7450.00	gga-mir-196-1	7450.00	7450.00	973.97
gga-miR-196-5p	7400.00	gga-mir-196-2	7400.00	7400.00	967.43
gga-miR-196-5p	7350.00	gga-mir-196-3	7350.00	7350.00	960.90
gga-miR-196-5p	7400.00	gga-mir-196-4	7400.00	7400.00	967.43
gga-miR-196-5p	7400.00	gga-mir-196-5	7400.00	7400.00	967.43
gga-miR-199-5p	16925.00	gga-mir-199-1	16925.00	16925.00	2212.68
gga-miR-199-5p	16973.00	gga-mir-199-2	16973.00	16973.00	2218.95
gga-miR-199b	692.00	gga-mir-199b	692.00	692.00	90.47
gga-miR-19a-5p	115.00	gga-mir-19a	115.00	115.00	15.03
gga-miR-19b-5p	1.00	gga-mir-19b	1.00	1.00	0.13
gga-miR-1a-1-5p	71.00	gga-mir-1a-1	71.00	71.00	9.28
gga-miR-1a-2-5p	34.00	gga-mir-1a-2	34.00	34.00	4.44
gga-miR-1b-5p	5.00	gga-mir-1b	5.00	5.00	0.65
gga-miR-1c	4.00	gga-mir-1c	4.00	4.00	0.52
gga-miR-200a-5p	0.00	gga-mir-200a	0.00	0	0
gga-miR-200b-5p	0.00	gga-mir-200b	0.00	0	0
gga-miR-202-5p	0.00	gga-mir-202	0.00	0	0
gga-miR-204	38.00	gga-mir-204-1	38.00	38.00	4.97
gga-miR-211	38.00	gga-mir-204-1	38.00	38.00	4.97
gga-miR-204	38.00	gga-mir-204-2	38.00	38.00	4.97
gga-miR-211	38.00	gga-mir-204-2	38.00	38.00	4.97
gga-miR-205a	0.00	gga-mir-205a	0.00	0	0
gga-miR-205b	62.00	gga-mir-205b	62.00	62.00	8.11
gga-miR-205c-5p	0.00	gga-mir-205c	0.00	0	0
gga-miR-205c-3p	2.00	gga-mir-205c	2.00	2.00	0.26
gga-miR-20a-5p	1487.00	gga-mir-20a	1487.00	1487.00	194.40
gga-miR-20b-5p	47493.00	gga-mir-20b	47493.00	47493.00	6208.96
gga-miR-21-5p	541710.00	gga-mir-21	541710.00	541710.00	70819.99
gga-miR-210a-5p	15611.00	gga-mir-210a	15611.00	15611.00	2040.89
gga-miR-210b-5p	0.00	gga-mir-210b	0.00	0	0
gga-miR-204	38.00	gga-mir-211	38.00	38.00	4.97
gga-miR-211	38.00	gga-mir-211	38.00	38.00	4.97
gga-miR-212-5p	12.00	gga-mir-212	12.00	12.00	1.57
gga-miR-2126	0.00	gga-mir-2126	0.00	0	0
gga-miR-2131-5p	19.00	gga-mir-2131	19.00	19.00	2.48
gga-miR-214b-5p	242.00	gga-mir-214b	242.00	242.00	31.64
gga-miR-215-5p	12.00	gga-mir-215	12.00	12.00	1.57
gga-miR-216a	0.00	gga-mir-216a	0.00	0	0
gga-miR-216b	0.00	gga-mir-216b	0.00	0	0
gga-miR-216c	0.00	gga-mir-216c	0.00	0	0
gga-miR-217-5p	0.00	gga-mir-217	0.00	0	0
gga-miR-218-5p	51.00	gga-mir-218-1	51.00	51.00	6.67
gga-miR-218-5p	51.00	gga-mir-218-2	51.00	51.00	6.67
gga-miR-2184a-5p	349.00	gga-mir-2184a	349.00	349.00	45.63
gga-miR-2184a-3p	0.00	gga-mir-2184a	0.00	0	0
gga-miR-2184b-5p	0.00	gga-mir-2184b	0.00	0	0
gga-miR-2184b-3p	1.00	gga-mir-2184b	1.00	1.00	0.13
gga-miR-219a	0.00	gga-mir-219a	0.00	0	0
gga-miR-22-5p	1728.00	gga-mir-22	1728.00	1728.00	225.91
gga-miR-221-5p	166.00	gga-mir-221	166.00	166.00	21.70
gga-miR-222b-5p	8.00	gga-mir-222b	8.00	8.00	1.05
gga-miR-23b-5p	1691.00	gga-mir-23b	1691.00	1691.00	221.07
gga-miR-24-5p	526.00	gga-mir-24	526.00	526.00	68.77
gga-miR-26a-5p	1275.00	gga-mir-26a	1275.00	1275.00	166.69
gga-miR-26a-2-5p	1275.00	gga-mir-26a	1275.00	1275.00	166.69
gga-miR-26a-5p	1275.00	gga-mir-26a-2	1275.00	1275.00	166.69
gga-miR-26a-2-5p	1275.00	gga-mir-26a-2	1275.00	1275.00	166.69
gga-miR-27b-5p	260.00	gga-mir-27b	260.00	260.00	33.99
gga-miR-2954	1185068.00	gga-mir-2954	1185068.00	1185068.00	154928.83
gga-miR-2984-5p	0.00	gga-mir-2984	0.00	0	0
gga-miR-2985-5p	0.00	gga-mir-2985-1	0.00	0	0
gga-miR-2985-3p	0.00	gga-mir-2985-1	0.00	0	0
gga-miR-2985-5p	0.00	gga-mir-2985-2	0.00	0	0
gga-miR-2985-2-3p	0.00	gga-mir-2985-2	0.00	0	0
gga-miR-29a-5p	597.00	gga-mir-29a	597.00	597.00	78.05
gga-miR-29b-1-5p	2642.00	gga-mir-29b-1	2642.00	2642.00	345.40
gga-miR-29b-2-5p	25.00	gga-mir-29b-2	25.00	25.00	3.27
gga-miR-29c-5p	0.00	gga-mir-29c	0.00	0	0
gga-miR-301a-5p	732.00	gga-mir-301a	732.00	732.00	95.70
gga-miR-301b-5p	140.00	gga-mir-301b	140.00	140.00	18.30
gga-miR-302b-5p	0.00	gga-mir-302b	0.00	0	0
gga-miR-302c-5p	0.00	gga-mir-302c	0.00	0	0
gga-miR-3064-5p	3.00	gga-mir-3064	3.00	3.00	0.39
gga-miR-30a-5p	96.00	gga-mir-30a	96.00	96.00	12.55
gga-miR-30b-5p	680.00	gga-mir-30b	680.00	680.00	88.90
gga-miR-30c-5p	10359.00	gga-mir-30c-1	10359.00	10359.00	1354.27
gga-miR-30c-5p	10346.00	gga-mir-30c-2	10346.00	10346.00	1352.58
gga-miR-30d	216.00	gga-mir-30d	216.00	216.00	28.24
gga-miR-30e-5p	101.00	gga-mir-30e	101.00	101.00	13.20
gga-miR-31-5p	21.00	gga-mir-31	21.00	21.00	2.75
gga-miR-32-5p	134.00	gga-mir-32	134.00	134.00	17.52
gga-miR-33-5p	860.00	gga-mir-33-1	860.00	860.00	112.43
gga-miR-33-2-5p	860.00	gga-mir-33-1	860.00	860.00	112.43
gga-miR-33-5p	860.00	gga-mir-33-2	860.00	860.00	112.43
gga-miR-33-2-5p	861.00	gga-mir-33-2	861.00	861.00	112.56
gga-miR-338-5p	4.00	gga-mir-338	4.00	4.00	0.52
gga-miR-34a-5p	9296.00	gga-mir-34a	9296.00	9296.00	1215.30
gga-miR-34b-5p	0.00	gga-mir-34b	0.00	0	0
gga-miR-34b-5p	1.00	gga-mir-34c	1.00	1.00	0.13
gga-miR-34c-5p	1.00	gga-mir-34c	1.00	1.00	0.13
gga-miR-3525	11.00	gga-mir-3525	11.00	11.00	1.44
gga-miR-3528	20.00	gga-mir-3528	20.00	20.00	2.61
gga-miR-3529	2572.00	gga-mir-3529	2572.00	2572.00	336.25
gga-miR-3530-5p	608.00	gga-mir-3530	608.00	608.00	79.49
gga-miR-3531-5p	0.00	gga-mir-3531	0.00	0	0
gga-miR-3532-5p	2.00	gga-mir-3532	2.00	2.00	0.26
gga-miR-3534	0.00	gga-mir-3534	0.00	0	0
gga-miR-3535	435.00	gga-mir-3535	435.00	435.00	56.87
gga-miR-3536	10.00	gga-mir-3536	10.00	10.00	1.31
gga-miR-3537	0.00	gga-mir-3537	0.00	0	0
gga-miR-3538	38.00	gga-mir-3538	38.00	38.00	4.97
gga-miR-3539	0.00	gga-mir-3539	0.00	0	0
gga-miR-3540	2.00	gga-mir-3540	2.00	2.00	0.26
gga-miR-3594-5p	0.00	gga-mir-3594	0.00	0	0
gga-miR-363-5p	223.00	gga-mir-363	223.00	223.00	29.15
gga-miR-365-1-5p	13.00	gga-mir-365-1	13.00	13.00	1.70
gga-miR-365-2-5p	61.00	gga-mir-365-2	61.00	61.00	7.97
gga-miR-365b-5p	0.00	gga-mir-365b	0.00	0	0
gga-miR-383-5p	100.00	gga-mir-383	100.00	100.00	13.07
gga-miR-425-5p	11198.00	gga-mir-425	11198.00	11198.00	1463.96
gga-miR-429-5p	4.00	gga-mir-429	4.00	4.00	0.52
gga-miR-449a	13.00	gga-mir-449a	13.00	13.00	1.70
gga-miR-449b-5p	20.00	gga-mir-449b	20.00	20.00	2.61
gga-miR-449c-5p	2.00	gga-mir-449c	2.00	2.00	0.26
gga-miR-449d-5p	96.00	gga-mir-449d	96.00	96.00	12.55
gga-miR-451	4.00	gga-mir-451	4.00	4.00	0.52
gga-miR-454-5p	3.00	gga-mir-454	3.00	3.00	0.39
gga-miR-455-5p	481.00	gga-mir-455	481.00	481.00	62.88
gga-miR-456-5p	15.00	gga-mir-456	15.00	15.00	1.96
gga-miR-458a-5p	7.00	gga-mir-458a	7.00	7.00	0.92
gga-miR-458b-5p	0.00	gga-mir-458b	0.00	0	0
gga-miR-460a-5p	27.00	gga-mir-460a	27.00	27.00	3.53
gga-miR-460b-5p	350.00	gga-mir-460b	350.00	350.00	45.76
gga-miR-4732-5p	0.00	gga-mir-4732	0.00	0	0
gga-miR-489-5p	0.00	gga-mir-489	0.00	0	0
gga-miR-490-5p	0.00	gga-mir-490	0.00	0	0
gga-miR-499-5p	13.00	gga-mir-499	13.00	13.00	1.70
gga-miR-551-5p	0.00	gga-mir-551	0.00	0	0
gga-miR-6516-5p	0.00	gga-mir-6516	0.00	0	0
gga-miR-6543-5p	0.00	gga-mir-6543	0.00	0	0
gga-miR-6544-5p	0.00	gga-mir-6544	0.00	0	0
gga-miR-6545-5p	0.00	gga-mir-6545	0.00	0	0
gga-miR-6547-5p	1.00	gga-mir-6547	1.00	1.00	0.13
gga-miR-6548-5p	0.00	gga-mir-6548	0.00	0	0
gga-miR-6549-5p	0.00	gga-mir-6549	0.00	0	0
gga-miR-6550-5p	1.00	gga-mir-6550	1.00	1.00	0.13
gga-miR-6551-5p	0.00	gga-mir-6551	0.00	0	0
gga-miR-6552-5p	0.00	gga-mir-6552	0.00	0	0
gga-miR-6553-5p	0.00	gga-mir-6553	0.00	0	0
gga-miR-6554-5p	0.00	gga-mir-6554	0.00	0	0
gga-miR-6555-5p	0.00	gga-mir-6555	0.00	0	0
gga-miR-6556-5p	0.00	gga-mir-6556	0.00	0	0
gga-miR-6557-5p	0.00	gga-mir-6557	0.00	0	0
gga-miR-6559-5p	0.00	gga-mir-6559	0.00	0	0
gga-miR-6560-5p	0.00	gga-mir-6560	0.00	0	0
gga-miR-6561-5p	0.00	gga-mir-6561	0.00	0	0
gga-miR-6562-5p	0.00	gga-mir-6562	0.00	0	0
gga-miR-6563-5p	0.00	gga-mir-6563	0.00	0	0
gga-miR-6564-5p	0.00	gga-mir-6564	0.00	0	0
gga-miR-6565-5p	0.00	gga-mir-6565	0.00	0	0
gga-miR-6566-5p	0.00	gga-mir-6566	0.00	0	0
gga-miR-6567-5p	0.00	gga-mir-6567	0.00	0	0
gga-miR-6568-5p	0.00	gga-mir-6568	0.00	0	0
gga-miR-6569-5p	0.00	gga-mir-6569	0.00	0	0
gga-miR-6570-5p	0.00	gga-mir-6570	0.00	0	0
gga-miR-6571-5p	0.00	gga-mir-6571	0.00	0	0
gga-miR-6572-5p	0.00	gga-mir-6572	0.00	0	0
gga-miR-6573-5p	0.00	gga-mir-6573	0.00	0	0
gga-miR-6574-5p	0.00	gga-mir-6574	0.00	0	0
gga-miR-6575-5p	0.00	gga-mir-6575	0.00	0	0
gga-miR-6576-5p	0.00	gga-mir-6576	0.00	0	0
gga-miR-6577-5p	0.00	gga-mir-6577	0.00	0	0
gga-miR-6578-5p	0.00	gga-mir-6578	0.00	0	0
gga-miR-6579-5p	0.00	gga-mir-6579-1	0.00	0	0
gga-miR-6579-5p	0.00	gga-mir-6579-2	0.00	0	0
gga-miR-6580-5p	0.00	gga-mir-6580	0.00	0	0
gga-miR-6581-5p	0.00	gga-mir-6581	0.00	0	0
gga-miR-6582-5p	0.00	gga-mir-6582	0.00	0	0
gga-miR-6583-5p	1.00	gga-mir-6583	1.00	1.00	0.13
gga-miR-6584-5p	0.00	gga-mir-6584	0.00	0	0
gga-miR-6585-5p	0.00	gga-mir-6585	0.00	0	0
gga-miR-6586-5p	0.00	gga-mir-6586	0.00	0	0
gga-miR-6587-5p	0.00	gga-mir-6587	0.00	0	0
gga-miR-6589-5p	0.00	gga-mir-6589	0.00	0	0
gga-miR-6590-5p	0.00	gga-mir-6590	0.00	0	0
gga-miR-6593-5p	0.00	gga-mir-6593	0.00	0	0
gga-miR-6594-5p	0.00	gga-mir-6594	0.00	0	0
gga-miR-6595-5p	0.00	gga-mir-6595	0.00	0	0
gga-miR-6596-5p	1.00	gga-mir-6596	1.00	1.00	0.13
gga-miR-6598-5p	0.00	gga-mir-6598	0.00	0	0
gga-miR-6599-5p	0.00	gga-mir-6599	0.00	0	0
gga-miR-6602-5p	0.00	gga-mir-6602	0.00	0	0
gga-miR-6604-5p	0.00	gga-mir-6604	0.00	0	0
gga-miR-6605-5p	0.00	gga-mir-6605	0.00	0	0
gga-miR-6606-5p	13.00	gga-mir-6606	13.00	13.00	1.70
gga-miR-6607-5p	0.00	gga-mir-6607	0.00	0	0
gga-miR-6608-5p	0.00	gga-mir-6608-1	0.00	0	0
gga-miR-6608-5p	0.00	gga-mir-6608-2	0.00	0	0
gga-miR-6611-5p	0.00	gga-mir-6611	0.00	0	0
gga-miR-6612-5p	0.00	gga-mir-6612	0.00	0	0
gga-miR-6615-5p	0.00	gga-mir-6615	0.00	0	0
gga-miR-6616-5p	0.00	gga-mir-6616	0.00	0	0
gga-miR-6618-5p	1.00	gga-mir-6618	1.00	1.00	0.13
gga-miR-6619-5p	0.00	gga-mir-6619	0.00	0	0
gga-miR-6620-5p	1.00	gga-mir-6620	1.00	1.00	0.13
gga-miR-6621-5p	0.00	gga-mir-6621	0.00	0	0
gga-miR-6625-5p	0.00	gga-mir-6625	0.00	0	0
gga-miR-6626-5p	1.00	gga-mir-6626	1.00	1.00	0.13
gga-miR-6629-5p	0.00	gga-mir-6629	0.00	0	0
gga-miR-6631-5p	0.00	gga-mir-6631	0.00	0	0
gga-miR-6632-5p	0.00	gga-mir-6632	0.00	0	0
gga-miR-6633-5p	0.00	gga-mir-6633	0.00	0	0
gga-miR-6634-5p	0.00	gga-mir-6634	0.00	0	0
gga-miR-6635-5p	0.00	gga-mir-6635-1	0.00	0	0
gga-miR-6635-5p	0.00	gga-mir-6635-2	0.00	0	0
gga-miR-6635-5p	0.00	gga-mir-6635-3	0.00	0	0
gga-miR-6639-5p	0.00	gga-mir-6639	0.00	0	0
gga-miR-6640-5p	0.00	gga-mir-6640	0.00	0	0
gga-miR-6641-5p	0.00	gga-mir-6641	0.00	0	0
gga-miR-6642-5p	0.00	gga-mir-6642	0.00	0	0
gga-miR-6643-5p	1.00	gga-mir-6643	1.00	1.00	0.13
gga-miR-6645-5p	0.00	gga-mir-6645	0.00	0	0
gga-miR-6647-5p	0.00	gga-mir-6647	0.00	0	0
gga-miR-6648-5p	0.00	gga-mir-6648-1	0.00	0	0
gga-miR-6648-5p	0.00	gga-mir-6648-2	0.00	0	0
gga-miR-6650-5p	1.00	gga-mir-6650	1.00	1.00	0.13
gga-miR-6651-5p	43.00	gga-mir-6651	43.00	43.00	5.62
gga-miR-6652-5p	0.00	gga-mir-6652	0.00	0	0
gga-miR-6655-5p	0.00	gga-mir-6655	0.00	0	0
gga-miR-6656-5p	0.00	gga-mir-6656	0.00	0	0
gga-miR-6661-5p	0.00	gga-mir-6661	0.00	0	0
gga-miR-6663-5p	0.00	gga-mir-6663	0.00	0	0
gga-miR-6665-5p	7.00	gga-mir-6665	7.00	7.00	0.92
gga-miR-6667-5p	0.00	gga-mir-6667	0.00	0	0
gga-miR-6669-5p	0.00	gga-mir-6669	0.00	0	0
gga-miR-6670-5p	0.00	gga-mir-6670	0.00	0	0
gga-miR-6671-5p	0.00	gga-mir-6671	0.00	0	0
gga-miR-6675-5p	0.00	gga-mir-6675	0.00	0	0
gga-miR-6677-5p	0.00	gga-mir-6677	0.00	0	0
gga-miR-6679-5p	0.00	gga-mir-6679	0.00	0	0
gga-miR-6681-5p	0.00	gga-mir-6681	0.00	0	0
gga-miR-6684-5p	0.00	gga-mir-6684	0.00	0	0
gga-miR-6685-5p	0.00	gga-mir-6685	0.00	0	0
gga-miR-6690-5p	0.00	gga-mir-6690	0.00	0	0
gga-miR-6691-5p	5.00	gga-mir-6691-1	5.00	5.00	0.65
gga-miR-6691-5p	5.00	gga-mir-6691-2	5.00	5.00	0.65
gga-miR-6692-5p	0.00	gga-mir-6692	0.00	0	0
gga-miR-6695-5p	0.00	gga-mir-6695	0.00	0	0
gga-miR-6696-5p	0.00	gga-mir-6696	0.00	0	0
gga-miR-6697-5p	4.00	gga-mir-6697	4.00	4.00	0.52
gga-miR-6699-5p	0.00	gga-mir-6699	0.00	0	0
gga-miR-6700-5p	0.00	gga-mir-6700	0.00	0	0
gga-miR-6702-5p	6.00	gga-mir-6702	6.00	6.00	0.78
gga-miR-6704-5p	0.00	gga-mir-6704	0.00	0	0
gga-miR-6705-5p	0.00	gga-mir-6705	0.00	0	0
gga-miR-6706-5p	0.00	gga-mir-6706	0.00	0	0
gga-miR-6707-5p	1.00	gga-mir-6707	1.00	1.00	0.13
gga-miR-6708-5p	0.00	gga-mir-6708	0.00	0	0
gga-miR-6709-5p	0.00	gga-mir-6709	0.00	0	0
gga-miR-6711-5p	0.00	gga-mir-6711	0.00	0	0
gga-miR-6712-5p	0.00	gga-mir-6712	0.00	0	0
gga-miR-6713-3p	0.00	gga-mir-6713	0.00	0	0
gga-miR-7	2649.00	gga-mir-7-1	2649.00	2649.00	346.31
gga-miR-7	2691.00	gga-mir-7-2	2691.00	2691.00	351.81
gga-miR-7	2741.00	gga-mir-7-3	2741.00	2741.00	358.34
gga-miR-726-5p	2.00	gga-mir-726	2.00	2.00	0.26
gga-miR-726-3p	0.00	gga-mir-726	0.00	0	0
gga-miR-7437-5p	0.00	gga-mir-7437	0.00	0	0
gga-miR-7438-5p	0.00	gga-mir-7438	0.00	0	0
gga-miR-7439-5p	0.00	gga-mir-7439	0.00	0	0
gga-miR-7440-5p	0.00	gga-mir-7440	0.00	0	0
gga-miR-7441-5p	0.00	gga-mir-7441	0.00	0	0
gga-miR-7442-5p	0.00	gga-mir-7442	0.00	0	0
gga-miR-7442-3p	0.00	gga-mir-7442	0.00	0	0
gga-miR-7443-5p	0.00	gga-mir-7443	0.00	0	0
gga-miR-7443-3p	0.00	gga-mir-7443	0.00	0	0
gga-miR-7444-5p	0.00	gga-mir-7444	0.00	0	0
gga-miR-7445-5p	0.00	gga-mir-7445-1	0.00	0	0
gga-miR-7445-3p	0.00	gga-mir-7445-1	0.00	0	0
gga-miR-7445-5p	0.00	gga-mir-7445-2	0.00	0	0
gga-miR-7445-3p	0.00	gga-mir-7445-2	0.00	0	0
gga-miR-7446-5p	0.00	gga-mir-7446	0.00	0	0
gga-miR-7447-5p	0.00	gga-mir-7447	0.00	0	0
gga-miR-7448-5p	0.00	gga-mir-7448	0.00	0	0
gga-miR-7448-3p	3.00	gga-mir-7448	3.00	3.00	0.39
gga-miR-7449-5p	2.00	gga-mir-7449	2.00	2.00	0.26
gga-miR-7450-5p	0.00	gga-mir-7450	0.00	0	0
gga-miR-7450-3p	0.00	gga-mir-7450	0.00	0	0
gga-miR-7451-5p	0.00	gga-mir-7451	0.00	0	0
gga-miR-7451-3p	0.00	gga-mir-7451	0.00	0	0
gga-miR-7452-5p	0.00	gga-mir-7452	0.00	0	0
gga-miR-7453-5p	0.00	gga-mir-7453	0.00	0	0
gga-miR-7454-5p	0.00	gga-mir-7454	0.00	0	0
gga-miR-7454-3p	0.00	gga-mir-7454	0.00	0	0
gga-miR-7455-5p	1.00	gga-mir-7455	1.00	1.00	0.13
gga-miR-7455-3p	50.00	gga-mir-7455	50.00	50.00	6.54
gga-miR-7456-5p	1.00	gga-mir-7456	1.00	1.00	0.13
gga-miR-7456-3p	0.00	gga-mir-7456	0.00	0	0
gga-miR-7457-5p	1.00	gga-mir-7457	1.00	1.00	0.13
gga-miR-7457-3p	0.00	gga-mir-7457	0.00	0	0
gga-miR-7458-5p	0.00	gga-mir-7458-1	0.00	0	0
gga-miR-7458-5p	0.00	gga-mir-7458-2	0.00	0	0
gga-miR-7459-5p	0.00	gga-mir-7459	0.00	0	0
gga-miR-7460-5p	0.00	gga-mir-7460	0.00	0	0
gga-miR-7461-5p	0.00	gga-mir-7461	0.00	0	0
gga-miR-7462-5p	12.00	gga-mir-7462	12.00	12.00	1.57
gga-miR-7463-5p	0.00	gga-mir-7463	0.00	0	0
gga-miR-7464-5p	0.00	gga-mir-7464	0.00	0	0
gga-miR-7464-3p	0.00	gga-mir-7464	0.00	0	0
gga-miR-7465-5p	0.00	gga-mir-7465	0.00	0	0
gga-miR-7465-3p	0.00	gga-mir-7465	0.00	0	0
gga-miR-7466-5p	0.00	gga-mir-7466	0.00	0	0
gga-miR-7466-3p	0.00	gga-mir-7466	0.00	0	0
gga-miR-7467-5p	0.00	gga-mir-7467	0.00	0	0
gga-miR-7468-5p	0.00	gga-mir-7468	0.00	0	0
gga-miR-7469-5p	0.00	gga-mir-7469	0.00	0	0
gga-miR-7470-5p	0.00	gga-mir-7470	0.00	0	0
gga-miR-7471-5p	0.00	gga-mir-7471	0.00	0	0
gga-miR-7471-3p	1.00	gga-mir-7471	1.00	1.00	0.13
gga-miR-7472-5p	0.00	gga-mir-7472	0.00	0	0
gga-miR-7473-5p	0.00	gga-mir-7473	0.00	0	0
gga-miR-7474-5p	4.00	gga-mir-7474	4.00	4.00	0.52
gga-miR-7475-5p	85.00	gga-mir-7475	85.00	85.00	11.11
gga-miR-7476-5p	0.00	gga-mir-7476	0.00	0	0
gga-miR-7477-5p	1.00	gga-mir-7477	1.00	1.00	0.13
gga-miR-7478-5p	0.00	gga-mir-7478	0.00	0	0
gga-miR-7479-5p	0.00	gga-mir-7479-1	0.00	0	0
gga-miR-7479-5p	0.00	gga-mir-7479-2	0.00	0	0
gga-miR-7479-5p	0.00	gga-mir-7479-3	0.00	0	0
gga-miR-7480-5p	0.00	gga-mir-7480-1	0.00	0	0
gga-miR-7480-3p	0.00	gga-mir-7480-1	0.00	0	0
gga-miR-7480-5p	0.00	gga-mir-7480-2	0.00	0	0
gga-miR-7480-3p	0.00	gga-mir-7480-2	0.00	0	0
gga-miR-7480-5p	0.00	gga-mir-7480-3	0.00	0	0
gga-miR-7480-3p	0.00	gga-mir-7480-3	0.00	0	0
gga-miR-7481-5p	0.00	gga-mir-7481	0.00	0	0
gga-miR-7481-3p	0.00	gga-mir-7481	0.00	0	0
gga-miR-7482-5p	0.00	gga-mir-7482-1	0.00	0	0
gga-miR-7482-3p	0.00	gga-mir-7482-1	0.00	0	0
gga-miR-7482-5p	0.00	gga-mir-7482-2	0.00	0	0
gga-miR-7482-3p	0.00	gga-mir-7482-2	0.00	0	0
gga-miR-7482-5p	0.00	gga-mir-7482-3	0.00	0	0
gga-miR-7482-3p	0.00	gga-mir-7482-3	0.00	0	0
gga-miR-7482-5p	0.00	gga-mir-7482-4	0.00	0	0
gga-miR-7482-3p	0.00	gga-mir-7482-4	0.00	0	0
gga-miR-7482-5p	0.00	gga-mir-7482-5	0.00	0	0
gga-miR-7482-3p	0.00	gga-mir-7482-5	0.00	0	0
gga-miR-7482-5p	0.00	gga-mir-7482-6	0.00	0	0
gga-miR-7482-3p	0.00	gga-mir-7482-6	0.00	0	0
gga-miR-7483-5p	0.00	gga-mir-7483	0.00	0	0
gga-miR-7483-3p	0.00	gga-mir-7483	0.00	0	0
gga-miR-757	1.00	gga-mir-757	1.00	1.00	0.13
gga-miR-7b	15.00	gga-mir-7b	15.00	15.00	1.96
gga-miR-9-5p	15.00	gga-mir-9-1	15.00	15.00	1.96
gga-miR-9-5p	15.00	gga-mir-9-2	15.00	15.00	1.96
gga-miR-9-5p	15.00	gga-mir-9-3	15.00	15.00	1.96
gga-miR-9-5p	15.00	gga-mir-9-4	15.00	15.00	1.96
gga-miR-92-5p	1899.00	gga-mir-92-1	1899.00	1899.00	248.26
gga-miR-96-5p	0.00	gga-mir-96	0.00	0	0
gga-miR-99a-5p	1801.00	gga-mir-99a	1801.00	1801.00	235.45
gga-miR-9b-5p	0.00	gga-mir-9b-1	0.00	0	0
gga-miR-9b-3p	0.00	gga-mir-9b-1	0.00	0	0
gga-miR-9b-5p	0.00	gga-mir-9b-2	0.00	0	0
gga-miR-9b-3p	0.00	gga-mir-9b-2	0.00	0	0
